% DB SPINE - DataColletor Application
%Data acquired from "cpu temperature" and "accelerometer".
%
%!Node phyID:1
%!Sensor_Setup: sensor=cpu temperature(4), timeScale=ms, samplingTime=300
%!Sensor_Setup: sensor=accelerometer(1), timeScale=ms, samplingTime=500
%!Feature_Setup: sensor=cpu temperature(4), window=20, shift =10
%!Feature_Setup: sensor=accelerometer(1), window=40, shift =20
%!Feature_Activation: sensor=cpu temperature(4), feature=Raw Data{1} channels=ch1[0]
%!Feature_Activation: sensor=accelerometer(1), feature=Min{3} channels=ch1 ch2 ch3[0 1 2], feature=Raw Data{1} channels=ch1 ch2 ch3[0 1 2]
@relation spine
@attribute CLASS_LABEL {Section_one, Section_two, Section_three}
@attribute featureDataId numeric
@attribute featureId numeric
@attribute sensorCode_featureCode_chNum string
@attribute featureValue numeric
@data
Section_three,71,1,1_1_2,825
Section_three,72,0,4_1_0,2935
Section_three,73,0,4_1_0,2928
Section_three,74,0,4_1_0,2929
Section_three,75,0,1_3_0,65120
Section_three,75,0,1_3_1,64558
Section_three,75,0,1_3_2,743
Section_three,75,1,1_1_0,65304
Section_three,75,1,1_1_1,65036
Section_three,75,1,1_1_2,1137
Section_three,76,0,4_1_0,2928
Section_three,77,0,4_1_0,2927
Section_three,78,0,4_1_0,2927
Section_three,79,0,1_3_0,65124
Section_three,79,0,1_3_1,64932
Section_three,79,0,1_3_2,606
Section_three,79,1,1_1_0,65308
Section_three,79,1,1_1_1,65291
Section_three,79,1,1_1_2,1198
Section_three,80,0,4_1_0,2934
Section_three,81,0,4_1_0,2929
Section_three,82,0,4_1_0,2925
Section_three,83,0,4_1_0,2929
Section_three,84,0,1_3_0,65124
Section_three,84,0,1_3_1,64846
Section_three,84,0,1_3_2,606
Section_three,84,1,1_1_0,65500
Section_three,84,1,1_1_1,508
Section_three,84,1,1_1_2,1137
Section_three,85,0,4_1_0,2935
Section_three,86,0,4_1_0,2930
Section_three,87,0,4_1_0,2932
Section_three,88,0,1_3_0,65295
Section_three,88,0,1_3_1,64846
Section_three,88,0,1_3_2,621
Section_three,88,1,1_1_0,53
Section_three,88,1,1_1_1,65498
Section_three,88,1,1_1_2,1020
Section_three,89,0,4_1_0,2930
Section_three,90,0,4_1_0,2927
Section_three,91,0,4_1_0,2929
Section_three,92,0,1_3_0,65382
Section_three,92,0,1_3_1,65395
Section_three,92,0,1_3_2,980
Section_three,92,1,1_1_0,53
Section_three,92,1,1_1_1,65499
Section_three,92,1,1_1_2,1020
Section_three,93,0,4_1_0,2930
Section_three,94,0,4_1_0,2929
Section_three,95,0,4_1_0,2928
Section_three,96,0,4_1_0,2928
Section_three,97,0,1_3_0,51
Section_three,97,0,1_3_1,65498
Section_three,97,0,1_3_2,1019
Section_three,97,1,1_1_0,53
Section_three,97,1,1_1_1,65499
Section_three,97,1,1_1_2,1020
Section_three,98,0,4_1_0,2927
Section_three,99,0,4_1_0,2928
Section_three,100,0,4_1_0,2930
Section_three,101,0,1_3_0,51
Section_three,101,0,1_3_1,65497
Section_three,101,0,1_3_2,1019
Section_three,101,1,1_1_0,54
Section_three,101,1,1_1_1,65499
Section_three,101,1,1_1_2,1020
Section_three,102,0,4_1_0,2930
